Order,AnimalName,CorrectedAnimalName,Corrected,DTIResolution,SNR,BrainOrientation,GM,WM,log10_GM_,log10_WM_,log10_BrV_,BrVol,TotFib,CC,AC,HC,TotalCommisures,ComRatio,file_prefix
Primates,BrownLemur3 (LemurM),BrownLemur3 (LemurM),0,0.48,29.8617400914789,RL,16.4,4.61,4.2148438480477,3.66370092538965,4.32242605240595,21.01,99930,10231,819,2483,13533,13.5424797358151,BrownLemur3_FF3_allfibers_kperm
Primates,Capuchin1,Capuchin1,0,0.653,38.015896735465,RL,48.55,13.41,4.68618923424402,4.1274287778516,4.79211140908717,61.96,87690,12058,184,655,12897,14.707492302429,Capuchin1_FF3_allfibers_kperm
Primates,Capuchin2,Capuchin2,0,0.66,63.5945170092173,RL,55.04,13.96,4.74067842522746,4.14488541828714,4.83884909073726,69,99832,13043,365,263,13671,13.6940059299623,Capuchin2_FF3_allfibers_kperm
Primates,Capuchin3,Capuchin3,0,0.65,51.9254267639759,RL,51.4,10.49,4.71096311899528,4.02077548819356,4.79162048269281,61.89,89091,9318,158,1054,10530,11.8193756945146,Capuchin3_FF3_allfibers_kperm
Primates,Chimpanze,chimpanzee,1,1.377,40.7553541122042,LR,264.258,105.3,5.42202814376854,5.02242837118549,5.56768260809812,369.558,40984,7480,1,670,8151,19.8882490728089,Chimpanzee_FF3_allfibers_kperm
Primates,Colobus2,Colobus2,0,0.7,61.570925108143,RL,64.33,17.08,4.80841355140037,4.23248786635299,4.91067775474271,81.41,93133,12701,440,570,13711,14.7219567714988,Colobus2_FF3_allfibers_kperm
Primates,Gorilla,Gorilla,0,1.2983,48.2189791171512,LR,289.5,86.3,5.46164856806346,4.93601079571521,5.57495677576451,375.8,43090,7467,1,345,7813,18.1318171269436,Gorilla_FF3_allfibers_kperm
Primates,GreenMonkey1,GreenMonkey1,0,0.666,52.0732252656501,RL,46.12,4.72,4.66388929862266,3.67394199863409,4.70620554188197,50.84,87765,5531,515,446,6492,7.39702614937618,GreenMonkey1_FF3_allfibers_kperm
Primates,GreenMonkey2,GreenMonkey2,0,0.72,58.8467874596095,RL,40.98,20.59,4.61257195406518,4.31365634661803,4.78936915359148,61.57,47390,5503,1,320,5824,12.2895125553914,GreenMonkey2_FF3_allfibers_kperm
Primates,HowlerMonkey1,HowlerMonkey1,0,0.62,74.5728999637836,RL,43.94,18.53,4.64286005258449,4.2678754193189,4.79567150594602,62.47,144656,14603,372,393,15368,10.6238247981418,HowlerMonkey1_FF3_allfibers_kperm
Primates,HowlerMonkey2,HowlerMonkey2,0,0.56,55.9816885894663,RL,36.42,17.95,4.5613399414589,4.25406445291434,4.73535933300171,54.37,206078,20968,227,2053,23248,11.2811653839808,HowlerMonkey2_FF3_allfibers_kperm
Primates,LemurCatta1,LemurCatta1,0,0.49,31.4433095203498,RL,18.88,2.9495,4.27600198996205,3.46974840050517,4.33904378840141,21.8295,92843,10003,432,1560,11995,12.9196600713032,LemurCatta1_FF3_allfibers_kperm
Primates,LemurCatta2,LemurCatta2,0,0.48,19.4270138430834,RL,20.19,2.099,4.30513631894364,3.3220124385824,4.34809058421716,22.289,116854,9404,205,812,10421,8.91796600886577,LemurCatta2_FF3_allfibers_kperm
Primates,Macaque1,Macaque1,0,0.68,36.9617487011098,RL,80.6269,6.07,4.90647996205936,3.78318869107526,4.93800356879151,86.6969,107936,11901,652,556,13109,12.145160094871,Macaque1_FF3_allfibers_kperm
Primates,Macaque10,Macaque10,0,0.7,74.7298309823653,RL,54.22,12.53,4.73415951324447,4.09795107099415,4.82445127003661,66.75,71814,10994,748,783,12525,17.4408889631548,Macaque10_FF3_allfibers_kperm
Primates,Macaque2,Macaque2,0,0.65,55.4851558141869,RL,48.21,9.42,4.68313713148301,3.97405090279288,4.76064861958136,57.63,78747,9512,609,670,10791,13.7033791763496,Macaque2_FF3_allfibers_kperm
Primates,Macaque3,Macaque3,0,0.64,45.2624642194241,RL,49.77,5.29,4.69696764074402,3.72345567203519,4.74083620705731,55.06,100429,9703,220,299,10222,10.1783349430941,Macaque3_FF3_allfibers_kperm
Primates,Macaque4,Macaque4,0,0.65,47.9581419274725,RL,45.65,8.63,4.65944078187032,3.93601079571521,4.7346398389877,54.28,79233,7030,375,1281,8686,10.9626039655194,Macaque4_FF3_allfibers_kperm
Primates,Macaque5,Macaque5,0,0.72,29.6173952326847,RL,54.12,14.51,4.73335778792559,4.16166741243774,4.83651399889067,68.63,80275,10691,1322,315,12328,15.3572095920274,Macaque5_FF3_allfibers_kperm
Primates,Macaque7,Macaque7,0,0.68,47.886468727536,RL,57.02,9.3,4.75602721297344,3.96848294855394,4.82164451754222,66.32,64569,6197,1330,1539,9066,14.0407935696697,Macaque7_FF3_allfibers_kperm
Primates,Macaque9,Macaque9,0,0.66,46.8263387462764,RL,55.94,10.39,4.74772246203551,4.01661554755718,4.82170999729838,66.33,84337,8062,442,795,9299,11.0260028220117,Macaque9_FF3_allfibers_kperm
Primates,MacaqueBlack,MacaqueBlack,0,0.73,52.5480704537899,RL,66.72,15.66,4.82425603762968,4.19479175772193,4.9158217876204,82.38,88192,14840,458,599,15897,18.0254444847605,MacaqueBlack_FF3_allfibers_kperm
Primates,MacaquePT,MacaquePT,0,0.69,52.7934542165064,RL,63.05,20.53,4.7996850909091,4.31238894937059,4.92210236680761,83.58,96902,18803,993,2018,21814,22.5114032734102,MacaquePT_FF3_allfibers_kperm
Primates,Mandarill1,mandrill1,1,0.84,80.1991240398436,RL,94.75,14.69,4.97657921864011,4.16702179579026,5.03917608437604,109.44,57563,6262,653,480,7395,12.846793947501,Mandrill1_FF3_allfibers_kperm
Primates,Mandrill2,Mandrill2,0,0.88,74.7651389413699,RL,117,21,5.06818586174616,4.32221929473392,5.13987908640124,138,70192,8341,533,779,9653,13.752279462047,Mandrill2_FF3_allfibers_kperm
Primates,mangebi,mangebi,0,0.78,63.0814031253753,RL,102.61,26.12,5.01118968760999,4.41697317260304,5.10967976925233,128.73,96709,12986,971,1186,15143,15.6583151516405,Mangebi_FF3_allfibers_kperm
